align-content|对齐内容|align-content: center;
align-items|对齐项目|align-items: center;
align-self|自身对齐|align-self: center;
animation|动画|animation: name 1s ease;
animation-delay|动画延迟|animation-delay: 0s;
animation-direction|动画方向|animation-direction: normal;
animation-duration|动画时长|animation-duration: 1s;
animation-fill-mode|动画填充|animation-fill-mode: forwards;
animation-iteration-count|动画次数|animation-iteration-count: 1;
animation-name|动画名称|animation-name: slide;
animation-play-state|动画状态|animation-play-state: running;
animation-timing-function|动画曲线|animation-timing-function: ease;
backface-visibility|背面可见|backface-visibility: hidden;
background|背景|background: #fff;
background-attachment|背景附着|background-attachment: fixed;
background-clip|背景裁剪|background-clip: border-box;
background-color|背景色|background-color: #fff;
background-image|背景图|background-image: url();
background-origin|背景原点|background-origin: padding-box;
background-position|背景位置|background-position: center;
background-repeat|背景重复|background-repeat: no-repeat;
background-size|背景大小|background-size: cover;
border|边框|border: 1px solid #000;
border-bottom|下边框|border-bottom: 1px solid #000;
border-collapse|边框合并|border-collapse: collapse;
border-color|边框颜色|border-color: #000;
border-image|边框图片|border-image: url();
border-left|左边框|border-left: 1px solid #000;
border-radius|圆角|border-radius: 5px;
border-right|右边框|border-right: 1px solid #000;
border-spacing|边框间距|border-spacing: 0;
border-style|边框样式|border-style: solid;
border-top|上边框|border-top: 1px solid #000;
border-width|边框宽度|border-width: 1px;
bottom|底部|bottom: 0;
box-shadow|阴影|box-shadow: 0 2px 5px rgba(0,0,0,0.3);
box-sizing|盒模型|box-sizing: border-box;
clear|清除浮动|clear: both;
color|文字颜色|color: #333;
column-gap|列间距|column-gap: 20px;
content|内容|content: '';
cursor|鼠标样式|cursor: pointer;
direction|文字方向|direction: ltr;
display|显示类型|display: block;
filter|滤镜|filter: blur(5px);
flex|弹性布局|flex: 1;
flex-basis|弹性基础|flex-basis: auto;
flex-direction|弹性方向|flex-direction: row;
flex-flow|弹性流|flex-flow: row wrap;
flex-grow|弹性增长|flex-grow: 1;
flex-shrink|弹性收缩|flex-shrink: 1;
flex-wrap|弹性换行|flex-wrap: wrap;
float|浮动|float: left;
font-family|字体|font-family: Arial, sans-serif;
font-size|字体大小|font-size: 14px;
font-style|字体样式|font-style: normal;
font-weight|字体粗细|font-weight: bold;
gap|间距|gap: 20px;
grid|网格布局|grid: auto / 1fr 1fr;
grid-area|网格区域|grid-area: header;
grid-auto-columns|自动列宽|grid-auto-columns: 1fr;
grid-auto-flow|自动流|grid-auto-flow: row;
grid-auto-rows|自动行高|grid-auto-rows: auto;
grid-column|网格列|grid-column: 1 / 3;
grid-column-end|列结束|grid-column-end: 3;
grid-column-start|列开始|grid-column-start: 1;
grid-row|网格行|grid-row: 1 / 3;
grid-row-end|行结束|grid-row-end: 3;
grid-row-start|行开始|grid-row-start: 1;
grid-template|网格模板|grid-template: 1fr / 1fr 1fr;
grid-template-areas|区域模板|grid-template-areas: 'a b';
grid-template-columns|列模板|grid-template-columns: 1fr 1fr;
grid-template-rows|行模板|grid-template-rows: auto;
height|高度|height: 100px;
justify-content|主轴对齐|justify-content: center;
justify-items|项目对齐|justify-items: center;
justify-self|自身对齐|justify-self: center;
left|左边|left: 0;
letter-spacing|字间距|letter-spacing: 1px;
line-height|行高|line-height: 1.5;
list-style|列表样式|list-style: none;
margin|外边距|margin: 10px;
margin-bottom|下外边距|margin-bottom: 10px;
margin-left|左外边距|margin-left: 10px;
margin-right|右外边距|margin-right: 10px;
margin-top|上外边距|margin-top: 10px;
max-height|最大高度|max-height: 500px;
max-width|最大宽度|max-width: 100%;
min-height|最小高度|min-height: 100px;
min-width|最小宽度|min-width: 100px;
object-fit|对象适配|object-fit: cover;
opacity|透明度|opacity: 0.5;
order|排序|order: 1;
outline|轮廓|outline: none;
overflow|溢出|overflow: auto;
overflow-x|水平溢出|overflow-x: hidden;
overflow-y|垂直溢出|overflow-y: scroll;
padding|内边距|padding: 10px;
padding-bottom|下内边距|padding-bottom: 10px;
padding-left|左内边距|padding-left: 10px;
padding-right|右内边距|padding-right: 10px;
padding-top|上内边距|padding-top: 10px;
pointer-events|指针事件|pointer-events: none;
position|定位|position: relative;
resize|调整大小|resize: both;
right|右边|right: 0;
row-gap|行间距|row-gap: 20px;
scroll-behavior|滚动行为|scroll-behavior: smooth;
text-align|文本对齐|text-align: center;
text-decoration|文本装饰|text-decoration: none;
text-indent|首行缩进|text-indent: 2em;
text-overflow|文本溢出|text-overflow: ellipsis;
text-shadow|文字阴影|text-shadow: 1px 1px 2px #000;
text-transform|文本转换|text-transform: uppercase;
top|顶部|top: 0;
transform|变换|transform: rotate(45deg);
transform-origin|变换原点|transform-origin: center;
transition|过渡|transition: all 0.3s;
transition-delay|过渡延迟|transition-delay: 0s;
transition-duration|过渡时长|transition-duration: 0.3s;
transition-property|过渡属性|transition-property: all;
transition-timing-function|过渡曲线|transition-timing-function: ease;
user-select|用户选择|user-select: none;
vertical-align|垂直对齐|vertical-align: middle;
visibility|可见性|visibility: hidden;
white-space|空白处理|white-space: nowrap;
width|宽度|width: 100%;
word-break|单词断行|word-break: break-all;
word-spacing|词间距|word-spacing: 2px;
word-wrap|单词换行|word-wrap: break-word;
z-index|层级|z-index: 10;
