accept|文件类型|accept="image/*"
accept-charset|字符集|accept-charset="UTF-8"
accesskey|快捷键|accesskey="s"
action|表单地址|action="/submit"
alt|替代文本|alt="描述"
async|异步加载|async
autocomplete|自动完成|autocomplete="on"
autofocus|自动聚焦|autofocus
autoplay|自动播放|autoplay
charset|字符集|charset="UTF-8"
checked|选中状态|checked
class|类名|class="classname"
cols|列数|cols="40"
colspan|跨列数|colspan="2"
content|内容|content="width=device-width"
contenteditable|可编辑|contenteditable="true"
controls|控制器|controls
crossorigin|跨域|crossorigin="anonymous"
data-*|自定义数据|data-value="123"
datetime|日期时间|datetime="2024-01-01"
defer|延迟加载|defer
dir|文本方向|dir="ltr"
disabled|禁用|disabled
download|下载|download="filename"
draggable|可拖拽|draggable="true"
enctype|编码类型|enctype="multipart/form-data"
for|关联标签|for="inputId"
form|所属表单|form="formId"
headers|关联表头|headers="headerId"
height|高度|height="100"
hidden|隐藏|hidden
href|链接地址|href="https://example.com"
hreflang|链接语言|hreflang="zh-CN"
http-equiv|HTTP头|http-equiv="refresh"
id|唯一标识|id="elementId"
integrity|完整性校验|integrity="sha256-..."
lang|语言|lang="zh-CN"
loading|加载方式|loading="lazy"
max|最大值|max="100"
maxlength|最大长度|maxlength="100"
method|请求方法|method="POST"
min|最小值|min="0"
minlength|最小长度|minlength="1"
multiple|多选|multiple
muted|静音|muted
name|名称|name="fieldName"
novalidate|不验证|novalidate
open|打开状态|open
pattern|正则验证|pattern="[0-9]+"
placeholder|占位文本|placeholder="请输入..."
poster|视频封面|poster="cover.jpg"
preload|预加载|preload="auto"
readonly|只读|readonly
rel|关系|rel="stylesheet"
required|必填|required
reversed|倒序|reversed
rows|行数|rows="5"
rowspan|跨行数|rowspan="2"
sandbox|沙箱模式|sandbox="allow-scripts"
scope|范围|scope="row"
selected|选中|selected
size|大小|size="5"
sizes|尺寸|sizes="100vw"
span|跨列数|span="2"
spellcheck|拼写检查|spellcheck="true"
src|资源地址|src="image.jpg"
srcset|响应式图片|srcset="img.jpg 1x"
start|起始值|start="1"
step|步长|step="1"
style|内联样式|style="color:red;"
tabindex|Tab顺序|tabindex="1"
target|打开方式|target="_blank"
title|提示文本|title="提示信息"
type|类型|type="text"
value|值|value="默认值"
width|宽度|width="100"
wrap|换行方式|wrap="soft"
